Model,Displacement,# of Cylinders,Transmission,Drive,Fuel,Type,City MPG,Highway MPG,Combined MPG
DODGE Challenger SRT Widebody,6.2,8.0,Auto-8,2WD,Gasoline,midsize car,13,21,15
DODGE Challenger SRT Widebody,6.2,8.0,Man-6,2WD,Gasoline,midsize car,13,21,16
DODGE Challenger Widebody,6.4,8.0,Auto-8,2WD,Gasoline,midsize car,15,24,18
DODGE Challenger Widebody,6.4,8.0,Man-6,2WD,Gasoline,midsize car,14,23,17
DODGE Charger,3.6,6.0,Auto-8,2WD,Gasoline,large car,19,30,23
DODGE Charger,3.6,6.0,Auto-8,4WD,Gasoline,large car,18,27,21
DODGE Charger SRT Widebody,6.2,8.0,Auto-8,2WD,Gasoline,large car,12,21,15
DODGE Charger Widebody,6.4,8.0,Auto-8,2WD,Gasoline,large car,15,24,18
DODGE Durango,3.6,6.0,Auto-8,2WD,Gasoline,standard SUV,19,26,21
DODGE Durango,3.6,6.0,Auto-8,4WD,Gasoline,standard SUV,18,25,21
DODGE Durango  SRT,6.4,8.0,Auto-8,4WD,Gasoline,standard SUV,13,19,15
DODGE Grand Caravan,3.6,6.0,Auto-6,2WD,Gasoline,minivan,17,25,20
DODGE Journey,2.4,4.0,Auto-4,2WD,Gasoline,small SUV,19,25,21
FERRARI 488 Pista,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,15,20,17
FERRARI 488 Pista Spider,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,15,19,17
FERRARI 812 Superfast,6.5,12.0,AutoMan-7,2WD,Gasoline,small car,12,16,13
FERRARI F8 Tributo,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,15,19,16
FERRARI GTC4Lusso,6.3,12.0,AutoMan-7,4WD,Gasoline,small car,12,17,13
FERRARI GTC4Lusso T,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,15,21,17
FERRARI Portofino,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,16,22,18
FIAT 124 Spider,1.4,4.0,Auto-6,2WD,Gasoline,small car,25,36,29
FIAT 124 Spider,1.4,4.0,Man-6,2WD,Gasoline,small car,26,35,30
FIAT 500L,1.4,4.0,Auto-6,2WD,Gasoline,station wagon,22,30,25
FIAT 500X,1.3,4.0,Auto-9,4WD,Gasoline,small SUV,24,30,26
FORD EcoSport,1.0,3.0,SemiAuto-6,2WD,Gasoline,small SUV,27,29,28
FORD EcoSport,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,23,29,25
FORD Edge,2.0,4.0,Auto-8,2WD,Gasoline,small SUV,21,29,24
FORD Edge,2.0,4.0,Auto-8,4WD,Gasoline,small SUV,21,28,23
FORD Edge,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,21,28,23
FORD Escape,1.5,3.0,Auto-8,2WD,Gasoline,small SUV,27,33,30
FORD Escape,1.5,3.0,Auto-8,4WD,Gasoline,small SUV,26,31,28
FORD Escape,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,23,31,26
FORD Escape HEV,2.5,4.0,CVT,2WD,Gasoline,small SUV,44,37,41
FORD Escape HEV,2.5,4.0,CVT,4WD,Gasoline,small SUV,43,37,40
FORD Escape PHEV,2.5,4.0,CVT,2WD,Gasoline/Electricity,small SUV,43,38,41
FORD Expedition,3.5,6.0,SemiAuto-10,2WD,Gasoline,standard SUV,17,23,19
FORD Expedition,3.5,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,17,22,19
FORD Expedition MAX,3.5,6.0,SemiAuto-10,2WD,Gasoline,standard SUV,17,23,19
FORD Expedition MAX,3.5,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,16,21,18
FORD Explorer,2.3,4.0,SemiAuto-10,2WD,Gasoline,standard SUV,21,28,24
FORD Explorer,2.3,4.0,SemiAuto-10,4WD,Gasoline,standard SUV,20,27,23
FORD Explorer FFV,3.3,6.0,SemiAuto-10,4WD,Ethanol/Gas,standard SUV,11,15,13
FORD Explorer HEV,3.3,6.0,SemiAuto-10,2WD,Gasoline,standard SUV,27,29,28
FORD Explorer HEV,3.3,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,23,26,25
FORD F150,2.7,6.0,SemiAuto-10,2WD,Gasoline,pickup,20,26,22
FORD F150,2.7,6.0,SemiAuto-10,4WD,Gasoline,pickup,18,23,20
FORD F150,3.0,6.0,SemiAuto-10,2WD,Diesel,pickup,21,28,24
FORD F150,3.0,6.0,SemiAuto-10,4WD,Diesel,pickup,20,25,22
FORD F150 FFV,3.3,6.0,SemiAuto-6,2WD,Ethanol/Gas,pickup,14,19,16
FORD F150 FFV,3.3,6.0,SemiAuto-6,4WD,Ethanol/Gas,pickup,13,17,15
FORD F150 FFV,5.0,8.0,SemiAuto-10,2WD,Ethanol/Gas,pickup,12,17,14
FORD F150 FFV,5.0,8.0,SemiAuto-10,4WD,Ethanol/Gas,pickup,12,15,13
FORD F150 FFV BASE PAYLOAD LT,5.0,8.0,SemiAuto-10,2WD,Ethanol/Gas,pickup,12,17,14
FORD F150 Limited,3.5,6.0,SemiAuto-10,2WD,Gasoline,pickup,17,22,19
FORD F150 Limited,3.5,6.0,SemiAuto-10,4WD,Gasoline,pickup,17,21,19
FORD F150 Raptor,3.5,6.0,SemiAuto-10,4WD,Gasoline,pickup,15,18,16
FORD F150 XL/XLT,3.0,6.0,SemiAuto-10,4WD,Diesel,pickup,21,28,24
FORD Fusion,1.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,23,34,27
FORD Fusion,2.0,4.0,SemiAuto-6,4WD,Gasoline,midsize car,20,29,23
FORD Fusion,2.5,4.0,Auto-6,2WD,Gasoline,midsize car,21,31,24
FORD Fusion Energi Plug-in Hybrid,2.0,4.0,CVT,2WD,Gasoline/Electricity,midsize car,43,40,42
FORD Fusion Hybrid,2.0,4.0,CVT,2WD,Gasoline,midsize car,43,41,42
FORD Fusion Hybrid Taxi,2.0,4.0,CVT,2WD,Gasoline,midsize car,43,40,41
FORD Fusion Special Service PHEV,2.0,4.0,CVT,2WD,Gasoline/Electricity,midsize car,43,40,42
FORD GT,3.5,6.0,AutoMan-7,2WD,Gasoline,small car,12,18,14
FORD Mustang,2.3,4.0,Man-6,2WD,Gasoline,small car,21,30,24
FORD Mustang,2.3,4.0,SemiAuto-10,2WD,Gasoline,small car,21,32,25
FORD Mustang Bullitt,5.0,8.0,Man-6,2WD,Gasoline,small car,14,23,17
FORD Mustang Convertible,2.3,4.0,Man-6,2WD,Gasoline,small car,20,28,23
FORD Mustang Convertible,2.3,4.0,SemiAuto-10,2WD,Gasoline,small car,20,28,23
FORD Mustang HO Convertible,2.3,4.0,Man-6,2WD,Gasoline,small car,19,26,22
FORD Mustang HO Convertible,2.3,4.0,SemiAuto-10,2WD,Gasoline,small car,20,27,23
FORD Mustang HO Coupe,2.3,4.0,Man-6,2WD,Gasoline,small car,20,27,23
FORD Mustang HO Coupe,2.3,4.0,SemiAuto-10,2WD,Gasoline,small car,20,28,23
FORD Ranger,2.3,4.0,SemiAuto-10,2WD,Gasoline,special purpose,19,18,18
FORD Ranger,2.3,4.0,SemiAuto-10,4WD,Gasoline,pickup,20,24,22
FORD Shelby GT350 Mustang,5.2,8.0,Man-6,2WD,Gasoline,small car,14,21,16
FORD Shelby GT500 Mustang,5.2,8.0,AutoMan-7,2WD,Gasoline,small car,12,18,14
FORD Transit Connect,2.0,4.0,SemiAuto-8,2WD,Ethanol/Gas,special purpose,17,21,19
FORD Transit Connect,2.0,4.0,SemiAuto-8,2WD,Gasoline,special purpose,24,27,25
FORD Transit Connect,2.5,4.0,SemiAuto-6,2WD,Gasoline,special purpose,20,26,22
FORD Transit Connect USPS,2.5,4.0,SemiAuto-6,2WD,Gasoline,special purpose,20,27,22
FORD Transit T150 Wagon FFV,3.5,6.0,SemiAuto-10,2WD,Ethanol/Gas,van,11,15,12
FORD Transit T150 Wagon FFV,3.5,6.0,SemiAuto-10,4WD,Ethanol/Gas,van,11,14,12
GENESIS G70,2.0,4.0,Man-6,2WD,Gasoline,small car,18,28,22
GENESIS G70,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,22,30,25
GENESIS G70,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,20,27,23
GENESIS G80,3.3,6.0,SemiAuto-8,2WD,Gasoline,large car,17,25,20
GENESIS G80,3.3,6.0,SemiAuto-8,4WD,Gasoline,large car,17,24,20
GENESIS G90,3.3,6.0,SemiAuto-8,2WD,Gasoline,large car,17,25,20
GENESIS G90,3.3,6.0,SemiAuto-8,4WD,Gasoline,large car,17,25,20
GMC Acadia,2.0,4.0,Auto-9,2WD,Gasoline,standard SUV,21,28,24
GMC Acadia,2.0,4.0,Auto-9,4WD,Gasoline,standard SUV,21,27,23
GMC Canyon,2.5,4.0,Auto-6,2WD,Gasoline,pickup,20,26,22
GMC Canyon,2.5,4.0,Auto-6,4WD,Gasoline,pickup,19,24,21
GMC Canyon,2.8,4.0,Auto-6,2WD,Diesel,pickup,20,30,23
GMC Canyon,2.8,4.0,Auto-6,4WD,Diesel,pickup,19,28,22
GMC Canyon,3.6,6.0,Auto-8,2WD,Gasoline,pickup,18,25,20
GMC Canyon,3.6,6.0,Auto-8,4WD,Gasoline,pickup,17,24,19
GMC Sierra,2.7,4.0,Auto-8,2WD,Gasoline,pickup,19,22,20
GMC Sierra,2.7,4.0,Auto-8,4WD,Gasoline,pickup,19,22,20
GMC Sierra,3.0,6.0,Auto-10,2WD,Diesel,pickup,23,30,26
GMC Sierra,3.0,6.0,Auto-10,4WD,Diesel,pickup,22,26,24
GMC Sierra,4.3,6.0,Auto-6,2WD,Gasoline,pickup,16,21,17
GMC Sierra,4.3,6.0,Auto-6,4WD,Gasoline,pickup,15,20,17
GMC Sierra,5.3,8.0,Auto-10,4WD,Gasoline,pickup,16,22,19
GMC Sierra,5.3,8.0,Auto-6,2WD,Ethanol/Gas,pickup,11,14,12
GMC Sierra,5.3,8.0,Auto-6,4WD,Ethanol/Gas,pickup,11,14,12
GMC Sierra AT4,3.0,6.0,Auto-10,4WD,Diesel,pickup,22,26,24
GMC Sierra AT4,5.3,8.0,Auto-10,4WD,Gasoline,pickup,16,21,18
GMC Sierra AT4,5.3,8.0,Auto-6,4WD,Gasoline,pickup,14,18,16
GMC Sierra AT4,5.3,8.0,Auto-8,4WD,Gasoline,pickup,16,21,18
GMC Terrain,1.5,4.0,Auto-9,2WD,Gasoline,small SUV,26,30,27
GMC Terrain,1.5,4.0,Auto-9,4WD,Gasoline,small SUV,25,28,26
GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Ethanol/Gas,standard SUV,11,17,13
GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,15,22,18
GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Ethanol/Gas,standard SUV,11,16,13
GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,15,21,17
GMC Yukon 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,14,23,17
GMC Yukon 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,14,22,17
GMC Yukon 1500 XL,5.3,8.0,Auto-6,2WD,Ethanol/Gas,standard SUV,11,17,13
GMC Yukon 1500 XL,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,15,22,18
GMC Yukon 1500 XL,5.3,8.0,Auto-6,4WD,Ethanol/Gas,standard SUV,11,15,12
GMC Yukon 1500 XL,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,14,21,16
GMC Yukon 1500 XL,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,14,23,17
GMC Yukon 1500 XL,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,14,20,16
HONDA Accord,1.5,4.0,CVT,2WD,Gasoline,large car,30,38,33
HONDA Accord,1.5,4.0,Man-6,2WD,Gasoline,large car,26,35,30
HONDA Accord,1.5,4.0,SCV-7,2WD,Gasoline,large car,29,35,31
HONDA Accord,2.0,4.0,SemiAuto-10,2WD,Gasoline,large car,23,34,27
HONDA Accord 2.0T Sport/Touring,2.0,4.0,SemiAuto-10,2WD,Gasoline,midsize car,22,32,26
HONDA CR-V,1.5,4.0,CVT,2WD,Gasoline,small SUV,28,34,30
HONDA CR-V,1.5,4.0,CVT,4WD,Gasoline,small SUV,27,32,29
HONDA Civic 2Dr,1.5,4.0,CVT,2WD,Gasoline,small car,31,40,35
HONDA Civic 2Dr,1.5,4.0,Man-6,2WD,Gasoline,small car,26,36,30
HONDA Civic 2Dr,1.5,4.0,SCV-7,2WD,Gasoline,small car,30,37,33
HONDA Civic 4Dr,1.5,4.0,CVT,2WD,Gasoline,midsize car,32,42,36
HONDA Civic 4Dr,1.5,4.0,Man-6,2WD,Gasoline,midsize car,26,36,30
HONDA Civic 4Dr,1.5,4.0,SCV-7,2WD,Gasoline,midsize car,30,38,33
HONDA Civic 5Dr,1.5,4.0,CVT,2WD,Gasoline,large car,31,40,34
HONDA Civic 5Dr,1.5,4.0,Man-6,2WD,Gasoline,large car,29,37,32
HONDA Civic 5Dr,1.5,4.0,SCV-7,2WD,Gasoline,large car,29,35,32
HONDA Clarity,1.5,4.0,CVT,2WD,Gasoline/Electricity,midsize car,44,40,42
HONDA Clarity,,,Auto-1,2WD,Hydrogen,midsize car,68,67,68
HONDA Fit,1.5,4.0,CVT,2WD,Gasoline,station wagon,33,40,36
HONDA Fit,1.5,4.0,Man-6,2WD,Gasoline,station wagon,29,36,31
HONDA Fit,1.5,4.0,SCV-7,2WD,Gasoline,station wagon,31,36,33
HONDA HR-V,1.8,4.0,CVT,2WD,Gasoline,station wagon,28,34,30
HONDA HR-V,1.8,4.0,CVT,4WD,Gasoline,station wagon,27,31,29
HONDA HR-V,1.8,4.0,SCV-7,2WD,Gasoline,station wagon,28,34,30
HONDA HR-V,1.8,4.0,SCV-7,4WD,Gasoline,station wagon,26,31,28
HONDA Insight,1.5,4.0,CVT,2WD,Gasoline,midsize car,55,49,52
HONDA Insight Touring,1.5,4.0,CVT,2WD,Gasoline,midsize car,51,45,48
HONDA Odyssey,3.5,6.0,SemiAuto-10,2WD,Gasoline,minivan,19,28,22
HONDA Passport,3.5,6.0,SemiAuto-9,2WD,Gasoline,small SUV,20,25,22
HONDA Passport,3.5,6.0,SemiAuto-9,4WD,Gasoline,small SUV,19,24,21
HONDA Pilot,3.5,6.0,Auto-6,2WD,Gasoline,small SUV,19,27,22
HONDA Pilot,3.5,6.0,Auto-6,4WD,Gasoline,small SUV,18,26,21
HONDA Pilot,3.5,6.0,SemiAuto-9,2WD,Gasoline,small SUV,20,27,23
HONDA Pilot,3.5,6.0,SemiAuto-9,4WD,Gasoline,small SUV,19,26,22
HONDA Ridgeline,3.5,6.0,SemiAuto-9,2WD,Gasoline,pickup,19,26,22
HONDA Ridgeline,3.5,6.0,SemiAuto-9,4WD,Gasoline,pickup,19,24,21
HYUNDAI Accent,1.6,4.0,CVT,2WD,Gasoline,small car,33,41,36
HYUNDAI Accent,1.6,4.0,Man-6,2WD,Gasoline,small car,29,39,33
HYUNDAI Elantra,1.4,4.0,AutoMan-7,2WD,Gasoline,midsize car,33,41,36
HYUNDAI Elantra,2.0,4.0,CVT,2WD,Gasoline,midsize car,30,40,34
HYUNDAI Elantra GT,1.6,4.0,AMS-7,2WD,Gasoline,large car,25,32,28
HYUNDAI Elantra GT,1.6,4.0,Man-6,2WD,Gasoline,large car,23,30,26
HYUNDAI Elantra GT,2.0,4.0,SemiAuto-6,2WD,Gasoline,large car,25,32,27
HYUNDAI Elantra SE,2.0,4.0,CVT,2WD,Gasoline,midsize car,31,41,35
HYUNDAI Ioniq,1.6,4.0,AutoMan-6,2WD,Gasoline,large car,55,54,55
HYUNDAI Ioniq Blue,1.6,4.0,AutoMan-6,2WD,Gasoline,large car,57,59,58
HYUNDAI Ioniq Electric,,,Auto-1,2WD,Electricity,midsize car,145,121,133
HYUNDAI Ioniq Plug-in Hybrid,1.6,4.0,AutoMan-6,2WD,Gasoline/Electricity,midsize car,53,52,52
HYUNDAI Kona,1.6,4.0,AutoMan-7,2WD,Gasoline,small SUV,28,32,30
HYUNDAI Kona,1.6,4.0,AutoMan-7,4WD,Gasoline,small SUV,26,29,27
HYUNDAI Kona,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,27,33,30
HYUNDAI Kona,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,26,30,28
HYUNDAI Kona Electric,,,Auto-1,2WD,Electricity,small SUV,132,108,120
HYUNDAI NEXO,,,Auto-1,2WD,Hydrogen,small SUV,59,54,57
HYUNDAI NEXO Blue,,,Auto-1,2WD,Hydrogen,small SUV,65,58,61
HYUNDAI Palisade,3.8,6.0,SemiAuto-8,2WD,Gasoline,standard SUV,19,26,22
HYUNDAI Palisade,3.8,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,19,24,21
HYUNDAI Santa Fe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,20,27,23
HYUNDAI Santa Fe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,20,26,22
HYUNDAI Sonata,1.6,4.0,SemiAuto-8,2WD,Gasoline,large car,27,36,31
HYUNDAI Sonata Hybrid,2.0,4.0,AMS-6,2WD,Gasoline,large car,45,51,47
HYUNDAI Sonata Hybrid Blue,2.0,4.0,AMS-6,2WD,Gasoline,large car,50,54,52
HYUNDAI Tuscon,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,23,28,25
HYUNDAI Tuscon,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,22,25,23
HYUNDAI Veloster,1.6,4.0,AutoMan-7,2WD,Gasoline,small car,28,34,30
HYUNDAI Veloster,1.6,4.0,Man-6,2WD,Gasoline,small car,26,33,29
HYUNDAI Veloster,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,27,34,30
HYUNDAI Veloster N,2.0,4.0,Man-6,2WD,Gasoline,small car,22,29,25
HYUNDAI Venue,1.6,4.0,CVT,2WD,Gasoline,midsize car,30,34,32
HYUNDAI Venue,1.6,4.0,Man-6,2WD,Gasoline,midsize car,27,35,30
INFINITI Q50,3.0,6.0,SemiAuto-7,2WD,Gasoline,midsize car,20,29,23
INFINITI Q50,3.0,6.0,SemiAuto-7,4WD,Gasoline,midsize car,19,27,22
INFINITI Q50 Red Sport,3.0,6.0,SemiAuto-7,2WD,Gasoline,midsize car,20,26,22
INFINITI Q50 Red Sport,3.0,6.0,SemiAuto-7,4WD,Gasoline,midsize car,19,26,22
INFINITI Q60,3.0,6.0,SemiAuto-7,2WD,Gasoline,small car,19,28,22
INFINITI Q60,3.0,6.0,SemiAuto-7,4WD,Gasoline,small car,19,27,22
INFINITI Q60 Red Sport,3.0,6.0,SemiAuto-7,2WD,Gasoline,small car,20,27,22
INFINITI Q60 Red Sport,3.0,6.0,SemiAuto-7,4WD,Gasoline,small car,19,26,21
INFINITI QX50,2.0,4.0,SCV-8,2WD,Gasoline,small SUV,23,29,26
INFINITI QX50,2.0,4.0,SCV-8,4WD,Gasoline,small SUV,22,28,25
INFINITI QX60,3.5,6.0,SCV-7,2WD,Gasoline,small SUV,20,27,22
INFINITI QX60,3.5,6.0,SCV-7,4WD,Gasoline,small SUV,19,26,22
INFINITI QX80,5.6,8.0,SemiAuto-7,2WD,Gasoline,standard SUV,14,20,16
INFINITI QX80,5.6,8.0,SemiAuto-7,4WD,Gasoline,standard SUV,13,19,15
JAGUAR E-Pace,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,21,28,24
JAGUAR E-Pace P300,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,21,27,23
JAGUAR F-Pace,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,22,27,24
JAGUAR F-Pace 30t,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,22,27,24
JAGUAR F-Type Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,23,30,26
JAGUAR F-Type Convertible,5.0,8.0,SemiAuto-8,4WD,Gasoline,small car,16,24,18
JAGUAR F-Type Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,23,30,26
JAGUAR F-Type Coupe,5.0,8.0,SemiAuto-8,4WD,Gasoline,small car,16,24,18
JAGUAR F-Type S Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,19,27,22
JAGUAR F-Type S Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,18,26,21
JAGUAR F-Type S Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,19,27,22
JAGUAR F-Type S Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,18,26,21
JAGUAR F-Type SVR Convertible,5.0,8.0,SemiAuto-8,4WD,Gasoline,small car,16,24,18
JAGUAR F-Type SVR Coupe,5.0,8.0,SemiAuto-8,4WD,Gasoline,small car,16,24,18
JAGUAR I-PACE,,,Auto-1,4WD,Electricity,small SUV,80,72,76
JAGUAR XE,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,25,34,28
JAGUAR XE,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,24,34,28
JAGUAR XE 30t,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,24,32,27
JAGUAR XE 30t,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,22,30,25
JAGUAR XF,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,25,34,28
JAGUAR XF,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,23,33,27
JAGUAR XF 30t,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,23,31,26
JAGUAR XF 30t,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,22,31,25
JAGUAR XF Sportbrake,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,21,28,24
JEEP Cherokee,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,23,31,26
JEEP Cherokee,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,21,29,24
JEEP Cherokee 4x4 Active Drive II,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,20,27,23
JEEP Cherokee Trailhawk,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,20,26,22
JEEP Compass,2.4,4.0,Auto-6,2WD,Gasoline,small SUV,22,31,25
JEEP Compass,2.4,4.0,Auto-9,4WD,Gasoline,small SUV,22,30,25
JEEP Compass,2.4,4.0,Man-6,2WD,Gasoline,small SUV,23,32,26
JEEP Compass,2.4,4.0,Man-6,4WD,Gasoline,small SUV,22,31,25
JEEP Gladiator,3.6,6.0,Auto-8,4WD,Gasoline,pickup,17,22,19
JEEP Gladiator,3.6,6.0,Man-6,4WD,Gasoline,pickup,16,23,19
JEEP Grand Cherokee,3.6,6.0,Auto-8,2WD,Gasoline,standard SUV,19,26,21
JEEP Grand Cherokee,3.6,6.0,Auto-8,4WD,Gasoline,standard SUV,18,25,21
JEEP Grand Cherokee SRT,6.4,8.0,Auto-8,4WD,Gasoline,standard SUV,13,19,15
JEEP Grand Cherokee Trackhawk,6.2,8.0,Auto-8,4WD,Gasoline,standard SUV,11,17,13
JEEP Renegade,1.3,4.0,Auto-9,2WD,Gasoline,small SUV,24,32,27
JEEP Renegade,1.3,4.0,Auto-9,4WD,Gasoline,small SUV,23,29,26
JEEP Renegade Trailhawk,1.3,4.0,Auto-9,4WD,Gasoline,small SUV,22,27,24
JEEP Wrangler,2.0,4.0,Auto-8,4WD,Gasoline,small SUV,21,22,21
JEEP Wrangler,3.6,6.0,Man-6,4WD,Gasoline,small SUV,17,25,20
JEEP Wrangler Unlimited,2.0,4.0,Auto-8,4WD,Gasoline,small SUV,21,22,21
JEEP Wrangler Unlimited,3.0,6.0,Auto-8,4WD,Diesel,small SUV,22,29,25
JEEP Wrangler Unlimited,3.6,6.0,Man-6,4WD,Gasoline,small SUV,17,23,19
KARMA Revero GT (21-inch wheels),1.5,3.0,Auto-1,2WD,Gasoline/Electricity,small car,27,25,26
KIA Cadenza,3.3,6.0,SemiAuto-8,2WD,Gasoline,large car,20,28,23
KIA Forte,1.6,4.0,AutoMan-7,2WD,Gasoline,midsize car,27,35,30
KIA Forte,1.6,4.0,Man-6,2WD,Gasoline,midsize car,25,32,28
KIA Forte,2.0,4.0,CVT,2WD,Gasoline,midsize car,29,40,33
KIA Forte FE,2.0,4.0,CVT,2WD,Gasoline,midsize car,31,41,35
KIA K900,3.3,6.0,SemiAuto-8,4WD,Gasoline,large car,18,25,21
KIA Niro,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,51,46,49
KIA Niro Electric,,,Auto-1,2WD,Electricity,station wagon,123,102,112
KIA Niro FE,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,52,49,50
KIA Niro Plug-in Hybrid,1.6,4.0,AutoMan-6,2WD,Gasoline/Electricity,station wagon,48,44,46
KIA Niro Touring,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,46,40,43
KIA Optima,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,27,37,31
KIA Optima,2.0,4.0,SemiAuto-6,2WD,Gasoline,large car,21,30,24
KIA Optima FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,25,35,29
KIA Optima Hybrid,2.0,4.0,AutoMan-6,2WD,Gasoline,midsize car,40,45,42
KIA Optima plug-in hybrid,2.0,4.0,AutoMan-6,2WD,Gasoline/Electricity,midsize car,39,44,41
KIA Rio,1.6,4.0,CVT,2WD,Gasoline,small car,33,41,36
KIA Sedona,3.3,6.0,SemiAuto-8,2WD,Gasoline,minivan,18,24,21
KIA Sorento,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,22,29,25
KIA Sorento,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,21,26,23
KIA Sorento,3.3,6.0,SemiAuto-8,2WD,Gasoline,small SUV,19,26,22
KIA Sorento,3.3,6.0,SemiAuto-8,4WD,Gasoline,small SUV,18,24,20
KIA Soul,1.6,4.0,AMS-7,2WD,Gasoline,station wagon,27,32,29
KIA Soul,2.0,4.0,CVT,2WD,Gasoline,station wagon,27,33,30
KIA Soul,2.0,4.0,Man-6,2WD,Gasoline,station wagon,25,31,27
KIA Soul Eco dynamics,2.0,4.0,CVT,2WD,Gasoline,station wagon,29,35,31
KIA Soul Electric,,,Auto-1,2WD,Electricity,station wagon,127,101,114
KIA Sportage,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,20,28,23
KIA Sportage,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,19,24,21
KIA Stinger,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,22,29,25
KIA Stinger,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,21,29,24
KIA Telluride,3.8,6.0,SemiAuto-8,2WD,Gasoline,small SUV,20,26,23
KIA Telluride,3.8,6.0,SemiAuto-8,4WD,Gasoline,small SUV,19,24,21
LAMBORGHINI Aventador Coupe,6.5,12.0,AMS-7,4WD,Gasoline,small car,9,15,11
LAMBORGHINI Aventador Roadster,6.5,12.0,AMS-7,4WD,Gasoline,small car,9,15,11
LAMBORGHINI Huracan,5.2,10.0,AMS-7,2WD,Gasoline,small car,13,18,15
LAMBORGHINI Huracan,5.2,10.0,AMS-7,4WD,Gasoline,small car,13,18,15
LAMBORGHINI Huracan Spyder,5.2,10.0,AMS-7,2WD,Gasoline,small car,13,18,15
LAMBORGHINI Huracan Spyder,5.2,10.0,AMS-7,4WD,Gasoline,small car,13,18,15
LAMBORGHINI Urus,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,12,17,14
LAND ROVER Defender 110,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,17,20,18
