Model,Displacement,# of Cylinders,Transmission,Drive,Fuel,Type,City MPG,Highway MPG,Combined MPG
BENTLEY Chiron,8.0,16.0,AMS-7,4WD,Gasoline,small car,9,14,11
BENTLEY Continental GT,4.0,8.0,AMS-8,4WD,Gasoline,small car,16,26,19
BENTLEY Continental GT Convertible,4.0,8.0,AMS-8,4WD,Gasoline,small car,16,26,19
BENTLEY Flying Spur,6.0,12.0,AMS-8,4WD,Gasoline,midsize car,12,19,15
BENTLEY Mulsanne,6.8,8.0,SemiAuto-8,2WD,Gasoline,midsize car,10,16,12
BMW 228i ,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,23,33,27
BMW 230i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,23,34,27
BMW 230i Coupe,2.0,4.0,Man-6,2WD,Gasoline,small car,21,32,25
BMW 230i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,24,32,27
BMW 230i xDrive Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,21,31,24
BMW 230i xDrive Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,21,31,24
BMW 330i,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,26,36,30
BMW 330i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,25,34,28
BMW 430i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,23,34,27
BMW 430i Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,22,32,26
BMW 430i Coupe,2.0,4.0,Man-6,2WD,Gasoline,small car,21,33,25
BMW 430i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,23,34,27
BMW 430i Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,21,31,24
BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,23,34,27
BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,21,31,24
BMW 440i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,22,29,24
BMW 440i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,20,28,23
BMW 440i Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,19,27,22
BMW 440i Coupe,3.0,6.0,Man-6,4WD,Gasoline,small car,18,28,21
BMW 440i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,22,30,25
BMW 440i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,22,30,25
BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,22,30,25
BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,22,30,25
BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,small car,25,31,27
BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,small car,23,29,25
BMW 530i,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,25,33,28
BMW 530i,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,24,31,27
BMW 540i,3.0,6.0,SemiAuto-8,2WD,Gasoline,midsize car,22,30,25
BMW 540i,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,22,29,25
BMW 740i,3.0,6.0,SemiAuto-8,2WD,Gasoline,large car,22,29,24
BMW 740i,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,20,28,23
BMW 745e,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,large car,19,26,22
BMW 750i,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,17,25,20
BMW 840i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,22,29,24
BMW 840i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,23,30,25
BMW 840i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,midsize car,22,29,24
BMW 840i xDrive Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,20,27,23
BMW 840i xDrive Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,21,27,23
BMW 840i xDrive Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,20,27,23
BMW Alpina B7,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,17,25,20
BMW M2 CS Coupe,3.0,6.0,AMS-7,2WD,Gasoline,small car,16,23,19
BMW M2 CS Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,17,24,20
BMW M2 Competition,3.0,6.0,AMS-7,2WD,Gasoline,small car,17,23,19
BMW M2 Competition,3.0,6.0,Man-6,2WD,Gasoline,small car,18,25,20
BMW M235i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,23,32,26
BMW M240i Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,19,27,22
BMW M240i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,22,30,25
BMW M240i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,22,30,25
BMW M240i Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,19,27,22
BMW M240i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,22,30,25
BMW M240i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,22,30,25
BMW M240i Coupe M Performance,3.0,6.0,Man-6,2WD,Gasoline,small car,19,27,22
